"MULTIPOLYGON(((119.9928487 30.2848697,119.9935402 30.2850621,119.9935882 30.2849335,119.9928967 30.2847411,119.9928487 30.2848697)))","157.08"
"MULTIPOLYGON(((119.9972236 30.2854932,119.9974314 30.2855436,119.9974687 30.2855194,119.9976158 30.2848984,119.9974127 30.284854,119.9973543 30.2848984,119.9972236 30.2854932)))","145.22"
"MULTIPOLYGON(((119.9977607 30.2862236,119.9984087 30.286401,119.9984767 30.2862172,119.9978287 30.2860337,119.9977607 30.2862236)))","82.83"
"MULTIPOLYGON(((119.9986981 30.2862039,119.9994179 30.2864005,119.9994756 30.2862363,119.998749 30.2860438,119.9986981 30.2862039)))","13.12"
"MULTIPOLYGON(((119.9997055 30.2865096,120.0001196 30.2866134,120.0001799 30.2864339,119.9997659 30.2863301,119.9997055 30.2865096)))","6.14"
"MULTIPOLYGON(((119.9985978 30.2864779,119.9992661 30.2866563,119.9993332 30.2864639,119.998658 30.2862895,119.9985978 30.2864779)))","94.78"
"MULTIPOLYGON(((119.999398 30.2868191,120.0000557 30.2869907,120.0001309 30.2867757,119.9994733 30.2866041,119.999398 30.2868191)))","97.94"
"MULTIPOLYGON(((119.995304 30.2867665,119.9954809 30.2870853,119.9957566 30.2869779,119.9955837 30.2866547,119.995304 30.2867665)))","31.09"
"MULTIPOLYGON(((119.997432 30.2871489,119.9974684 30.2871599,119.9974595 30.2871819,119.9975385 30.2872059,119.9975474 30.287184,119.9976131 30.2872039,119.9976041 30.2872259,119.997685 30.2872505,119.997694 30.2872285,119.9977271 30.2872386,119.9977614 30.2871543,119.9977283 30.2871443,119.9977357 30.2871261,119.9976412 30.2870973,119.9976361 30.2871098,119.997592 30.2870963,119.9975971 30.2870839,119.9975004 30.2870545,119.9974929 30.2870727,119.9974664 30.2870646,119.997432 30.2871489)))","29.33"
"MULTIPOLYGON(((119.9978737 30.2872879,119.9979144 30.2872996,119.9979077 30.2873167,119.9979885 30.28734,119.9979951 30.2873229,119.9980731 30.2873453,119.9980664 30.2873625,119.9981489 30.2873862,119.9981555 30.2873691,119.9982331 30.2873915,119.9982265 30.2874086,119.9983095 30.2874325,119.9983161 30.2874154,119.9983559 30.2874268,119.9983917 30.287334,119.9983614 30.2873253,119.9983683 30.2873075,119.9982615 30.2872767,119.9982566 30.2872894,119.9982093 30.2872758,119.9982142 30.2872631,119.9981013 30.2872305,119.9980964 30.2872432,119.998047 30.287229,119.9980519 30.2872163,119.9979467 30.287186,119.9979398 30.2872038,119.9979096 30.287195,119.9978737 30.2872879)))","29.17"
"MULTIPOLYGON(((119.9979138 30.287732,119.997959 30.2877455,119.9979528 30.2877611,119.9980301 30.2877842,119.9980364 30.2877686,119.9981192 30.2877933,119.9981129 30.2878089,119.9981898 30.2878318,119.998196 30.2878162,119.9982379 30.2878287,119.9982766 30.2877321,119.9982501 30.2877242,119.9982562 30.2877089,119.9981449 30.2876757,119.9981387 30.287691,119.9980917 30.287677,119.9980979 30.2876617,119.9979908 30.2876297,119.9979846 30.287645,119.9979525 30.2876354,119.9979138 30.287732)))","29.10"
"MULTIPOLYGON(((119.9992473 30.287595,119.9992649 30.2876001,119.9992625 30.2876061,119.9993053 30.2876185,119.9992972 30.2876394,119.9993797 30.2876634,119.9993878 30.2876425,119.9994987 30.2876747,119.9994906 30.2876956,119.9995757 30.2877203,119.9995838 30.2876995,119.999695 30.2877318,119.9996869 30.2877526,119.9997696 30.2877766,119.9997777 30.2877558,119.999823 30.2877689,119.9998253 30.2877629,119.999843 30.287768,119.9998774 30.2876797,119.9998225 30.2876637,119.9998269 30.2876524,119.9997281 30.2876237,119.9997236 30.287635,119.9996285 30.2876073,119.9996329 30.287596,119.9995326 30.2875669,119.9995282 30.2875782,119.9994336 30.2875507,119.999438 30.2875394,119.9993389 30.2875106,119.9993344 30.2875219,119.9992817 30.2875066,119.9992473 30.287595)))","25.45"
"MULTIPOLYGON(((119.997063 30.2880533,119.9971082 30.2880668,119.9971019 30.2880824,119.9971793 30.2881055,119.9971855 30.2880899,119.9972683 30.2881146,119.9972621 30.2881302,119.9973389 30.2881531,119.9973452 30.2881375,119.9973871 30.28815,119.9974257 30.2880534,119.9973992 30.2880455,119.9974054 30.2880302,119.997294 30.287997,119.9972879 30.2880123,119.9972409 30.2879983,119.997247 30.2879829,119.9971399 30.287951,119.9971338 30.2879663,119.9971016 30.2879567,119.997063 30.2880533)))","27.25"
"MULTIPOLYGON(((119.9963819 30.2878729,119.9963945 30.2878766,119.9963876 30.2878943,119.9964485 30.2879121,119.9964401 30.2879335,119.99652 30.2879569,119.9965284 30.2879355,119.996664 30.2879751,119.9966556 30.2879965,119.9967373 30.2880204,119.9967457 30.287999,119.9968033 30.2880159,119.9968098 30.2879994,119.9968247 30.2880038,119.9968527 30.2879323,119.996844 30.2879298,119.9968481 30.2879194,119.9967891 30.2879022,119.9967938 30.2878901,119.9967004 30.2878628,119.9966956 30.2878749,119.9965745 30.2878394,119.9965792 30.2878273,119.9964818 30.2877988,119.996477 30.2878109,119.9964243 30.2877955,119.9964202 30.2878058,119.9964094 30.2878027,119.9963819 30.2878729)))","43.06"
"MULTIPOLYGON(((119.9961982 30.2883789,119.9962108 30.2883826,119.9962039 30.2884004,119.9962647 30.2884182,119.9962563 30.2884396,119.9963362 30.2884629,119.9963446 30.2884415,119.9964802 30.2884812,119.9964718 30.2885026,119.9965536 30.2885265,119.996562 30.2885051,119.9966196 30.288522,119.9966261 30.2885055,119.9966409 30.2885098,119.9966689 30.2884384,119.9966603 30.2884359,119.9966644 30.2884255,119.9966054 30.2884083,119.9966101 30.2883962,119.9965166 30.2883688,119.9965119 30.2883809,119.9963908 30.2883455,119.9963955 30.2883334,119.996298 30.2883049,119.9962933 30.288317,119.9962405 30.2883015,119.9962365 30.2883119,119.9962257 30.2883088,119.9961982 30.2883789)))","42.86"
"MULTIPOLYGON(((119.9975577 30.2881178,119.9975713 30.2881216,119.997564 30.2881409,119.9976428 30.2881631,119.9976384 30.2881746,119.9977188 30.2881972,119.9977231 30.2881857,119.9978982 30.2882349,119.9978938 30.2882465,119.9979741 30.2882691,119.9979785 30.2882575,119.9980575 30.2882797,119.9980634 30.2882641,119.9980753 30.2882675,119.9981043 30.2881908,119.9980924 30.2881874,119.9980992 30.2881691,119.9980336 30.2881507,119.9980377 30.2881399,119.9979307 30.2881098,119.9979266 30.2881206,119.9977781 30.2880788,119.9977822 30.2880681,119.9976772 30.2880386,119.9976732 30.2880493,119.9976028 30.2880295,119.9975985 30.2880408,119.9975879 30.2880378,119.9975577 30.2881178)))","37.11"
"MULTIPOLYGON(((119.9989253 30.2884459,119.998966 30.2884576,119.9989593 30.2884747,119.9990401 30.288498,119.9990467 30.2884809,119.9991247 30.2885033,119.999118 30.2885204,119.9992005 30.2885442,119.9992071 30.2885271,119.9992847 30.2885494,119.9992781 30.2885666,119.9993611 30.2885905,119.9993677 30.2885734,119.9994075 30.2885848,119.9994433 30.288492,119.999413 30.2884833,119.9994199 30.2884655,119.9993131 30.2884347,119.9993082 30.2884474,119.9992609 30.2884338,119.9992658 30.2884211,119.9991529 30.2883885,119.999148 30.2884012,119.9990986 30.288387,119.9991035 30.2883743,119.9989983 30.288344,119.9989914 30.2883617,119.9989612 30.288353,119.9989253 30.2884459)))","29.30"
